,count,mean,std,min,25%,50%,75%,max
index,337553.0,168776.0,97443.30204534327,0.0,84388.0,168776.0,253164.0,337552.0
Zscore,232304.0,0.3053888917108616,0.7638539283636608,-1.9383,-0.3002,0.2217,0.8528,3.5583
al_year,337553.0,2020.0,0.0,2020.0,2020.0,2020.0,2020.0,2020.0
district_rank_num,184299.0,1304.3587431293713,1423.551699012876,1.0,269.0,783.0,1859.0,7546.0
island_rank_num,184299.0,21584.62487588104,19429.420979602717,1.0,5800.0,15425.0,33040.0,73006.0
